id,link,house_name,address,price,area,length,width,price_per_square,bedroom,floor,toilet,house_type,furnishing_status,legal_status,priority_characteristics,living_size,direction,crawl_time
115162878,https://www.nhatot.com//mua-ban-nha-dat-quan-10-tp-ho-chi-minh/115162878.htm#px=SR-special_display_ad-[PO-6][PL-default],Nhanh tay sở hữu ngay căn nhà Cao Thắng P12 Q10 giá 2tỷ100tr DT 31m2,,"2,1 tỷ",31 m²,,3.0999 m,"67,74 triệu/m²",3 phòng,1,2 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:32:20
115488642,https://www.nhatot.com//mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/115488642.htm,Bán Nhà Full Nội Thất Dọn Vô Ở Ngay Khu Dân Cư Yên Tĩnh Dân Trí Cao.,,"4,8 tỷ",80 m²,,,60 triệu/m²,2 phòng,1,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:32:21
114239207,https://www.nhatot.com//mua-ban-nha-dat-quan-11-tp-ho-chi-minh/114239207.htm#px=SR-special_display_ad-[PO-17][PL-default],Nhà 1 trệt 3 lầu DT 24.6m2 giá 1tỷ800tr Lý Nam Đế P7 Q11. Sổ riêng,,"1,8 tỷ",24.7 m²,,3.5 m,"72,87 triệu/m²",4 phòng,3,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:32:53
114147633,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoai-duc-ha-noi/114147633.htm,Chính chủ gửi bán Lô Góc 2 Thoáng mặt ngõ tại Kim Chung,,"2,75 tỷ",38 m²,,,"72,37 triệu/m²",4 phòng,4,3 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:32:54
114790683,https://www.nhatot.com//mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/114790683.htm,"Nhà đẹp 4 tầng đường rộng 10m Lê Đức Thọ, DT: 4m x 16m",,"7,6 tỷ",64 m²,16 m,4 m,"118,75 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",,Đã có sổ,Hẻm xe hơi,,,2024-05-01 07:32:54
115040525,https://www.nhatot.com//mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/115040525.htm#px=SR-special_display_ad-[PO-5][PL-default],Hạ giá 2tỷ800tr còn 2tỷ550tr Lê Văn Duyệt P3 Q.Bình Thạnh DT 43m2,,"2,55 tỷ",43 m²,,4 m,"59,3 triệu/m²",3 phòng,2,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:33:26
115387226,https://www.nhatot.com//mua-ban-nha-dat-quan-10-tp-ho-chi-minh/115387226.htm,Bán nhà 3/2 P12. Q10. Dtst 20m2. 3x 7m 3 tầng.3wc. Giá 3.19 tỷ,,"3,2 tỷ",20 m²,,3 m,160 triệu/m²,2 phòng,3,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:33:26
114126949,https://www.nhatot.com//mua-ban-dat-thanh-pho-thu-dau-mot-binh-duong/114126949.htm,Bán lô góc mặt tiền đại lộ bình dương hiệp an thủ dầu một,,22 tỷ,739.2 m²,,,"29,76 triệu/m²",,,,,,,Mặt tiền,,,2024-05-01 07:33:27
114294973,https://www.nhatot.com//mua-ban-nha-dat-quan-11-tp-ho-chi-minh/114294973.htm#px=SR-special_display_ad-[PO-11][PL-default],Chính chủ bán nhà Lê Thị Bạch Cát P13 Q11 DT 30.7m2 giá 2tỷ150tr,,"2,15 tỷ",30.7 m²,,4 m,"70,03 triệu/m²",4 phòng,2,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:33:27
114564473,https://www.nhatot.com//mua-ban-dat-thanh-pho-thu-dau-mot-binh-duong/114564473.htm,Giảm mạnh bán đất mặt tiền kinh doanh lê hồng phong phú hoà TDM BD,,16 tỷ,235 m²,25 m,9.5 m,"68,09 triệu/m²",,,,,,Đã có sổ,,,,2024-05-01 07:34:00
